,iso_merged,SHAPE_Leng,SHAPE_Area
54,BQ,0.478565627958,0.0175010559771
55,BQ,0.42083731653,0.0139203440723
56,BR,182.399688563,713.241195525
57,BS,2.19493827186,0.239378674223
58,BS,1.27339315815,0.0783603818658
59,BS,2.81253827053,0.205097200078
60,BS,2.40281584645,0.146629899941
61,BS,0.949094230243,0.0490014002652
62,BS,0.777771019094,0.0436096025576
63,BS,1.8038294604,0.221380063246
64,BS,1.97920252065,0.131563446736
65,BS,0.960745477967,0.0550984013739
66,BS,2.91709266199,0.467162064312
67,BS,2.95803561625,0.187944901928
68,BS,2.73784753746,0.210813888871
69,BS,3.91510835603,0.290981882292
70,BT,9.20549298801,3.6355587107
71,BW,33.9299440643,50.6775206832
72,BY,31.6223809049,28.7377972494
73,BZ,0.968434717951,0.0503554021307
74,BZ,0.974736895847,0.047065261312
75,BZ,0.0433514048644,5.61985023674e-05
76,BZ,7.08408004124,2.00985178256
77,CD,83.5582747662,189.828602937
78,CF,42.208081479,50.6021421722
79,CG,38.0588210932,28.0400227274
80,CH,15.5315226214,4.88927661196
81,CI,27.4539930343,26.6456131988
82,CL,2.76608898998,0.245777631824
83,CL,0.938606722207,0.0588099310405
84,CL,1.42742075562,0.00431137911745
85,CL,0.831735774335,0.045726283373
86,CL,9.80713936781e-05,4.49599233527e-12
87,CL,0.00277031398759,8.03858884465e-11
88,CL,2.63563626251,0.36297178585
89,CL,0.772336822574,0.0461971475912
90,CL,1.93068650596,0.147413856231
91,CL,0.880586422334,0.052364511648
92,CL,154.307290588,88.3353302385
93,CM,40.9520522798,38.1554420905
94,CN,7.81103015529,3.28532051966
95,CN,0.86153200372,0.0514272156832
96,CN,8.78920967246,3.60664963946
97,CN,1.25364407968,0.0949347401221
98,CN,0.714751426376,0.0374593046181
99,CN,264.466809358,953.965374597
100,CO,67.4074094723,93.5895721328
101,CO,0.514032119931,0.0192832089523
102,CR,15.4911044067,4.66395024541
103,CU,2.42806185697,0.304244033642
104,CU,32.5467382195,10.9377867485
105,CV,1.01158993405,0.0795105251949
106,CV,1.42094880441,0.140310832167
107,CV,0.861375445793,0.055973922872
108,CV,1.14187532483,0.100105444509
109,CV,1.31676900873,0.0860433697087
110,CV,0.907976762962,0.0561857691883
111,CV,0.843787596411,0.0528936355349
112,CV,1.31590401012,0.121348358026
113,CW,1.44636489344,0.0985829668742
114,CX,0.687540236865,0.0350587537998
115,CY,6.34418646499,1.19812404392
116,CZ,18.4495843561,9.82420951905
117,DE,0.0900096732318,0.000402370364673
118,DE,0.00027237716215,4.25456719741e-11
119,DE,0.000169207966004,1.62220881151e-11
120,DE,46.9797890115,46.9135455219
121,DJ,6.95758361629,1.89460391595
122,DK,1.62430472229,0.165585108102
123,DK,1.06281661897,0.0790715648712
124,DK,9.51836008846,1.88997350982
125,DK,1.14246642176,0.0695359048312
126,DK,17.3499606703,6.06928309497
127,DM,1.38361660796,0.122039009286
128,DO,13.2980482251,4.65033214275
129,DZ,70.7235242384,214.093757573
130,EC,24.9490971131,20.5996207403
131,EE,22.1486216156,8.22537330124
132,EG,0.000732521905625,6.27759710353e-10
133,EG,50.4260472638,91.8847564554
134,ER,1.75579857821,0.144197506329
135,ER,22.690778468,10.5347953542
136,ES,1.09264925256,0.0738537270694
137,ES,1.76852337836,0.224039784077
138,ES,0.977864324569,0.0732375956533
139,ES,2.41550008722,0.294059385958
140,ES,2.39574175259,0.259848081709
141,ES,1.36273832877,0.126220101322
142,ES,1.58642639799,0.150475411175
143,ES,0.855749688176,0.0454363865714
144,ES,1.39996334727,0.12892383626
145,ES,3.1961285203,0.531502141841
146,ES,1.61974728848,0.148283827656
147,ES,43.9039431057,53.7602685165
148,ET,46.8103153906,92.7227606739
149,FJ,1.59394117798,0.112136491869
150,FJ,0.782776144063,0.0447337478884
151,FJ,0.679521100404,0.0361656431219
152,FJ,4.32876621339,1.13854215031
153,FJ,0.615616400466,0.0119531222836
154,FJ,0.280185893932,0.00420722875505
155,FJ,6.30617605979,0.764645162592
156,FK,13.3533395545,2.38504345319
157,FR,0.000679090993034,1.01068036318e-10
158,FR,0.000817329599895,2.31177324684e-10
159,FR,0.000878245550107,3.53476406846e-10
160,FR,5.21275222586,1.24025267093
