,filename,Source,Location_I,City,State,Country,Latitude,Longitude,Time_Zone,Elevation
924,USA VA Hot Springs Ingalls (TMY3).csv,TMY3,724115,Hot Springs Ingalls,VA,USA,37.95,-79.833,-5,1156
925,USA WV Elkins Elkins-randolph Co Arp (TMY3).csv,TMY3,724170,Elkins Elkins-randolph Co Arp,WV,USA,38.883,-79.85,-5,594
926,USA VI Charlotte Amalie Harry S Trum (TMY3).csv,TMY3,785430,Charlotte Amalie Harry S Trum,VI,USA,18.35,-64.967,-4,6
927,USA TX Marfa Ap (TMY3).csv,TMY3,722640,Marfa Ap,TX,USA,30.367,-104.017,-6,1473
928,USA CO Durango La Plata Co (TMY3).csv,TMY3,724625,Durango La Plata Co,CO,USA,37.15,-107.75,-7,2038
929,USA PA Allentown Lehigh Valley Intl (TMY3).csv,TMY3,725170,Allentown Lehigh Valley Intl,PA,USA,40.65,-75.45,-5,119
930,USA MI Sault Ste Marie Sanderson Fie (TMY3).csv,TMY3,727340,Sault Ste Marie Sanderson Fie,MI,USA,46.467,-84.35,-5,219
931,USA MN Aitkin Ndb(awos) (TMY3).csv,TMY3,727504,Aitkin Ndb(awos),MN,USA,46.55,-93.683,-6,367
932,USA FL Orlando Intl Arpt (TMY3).csv,TMY3,722050,Orlando Intl Arpt,FL,USA,28.433,-81.333,-5,29
933,USA TX Wink Winkler County Ap (TMY3).csv,TMY3,722656,Wink Winkler County Ap,TX,USA,31.783,-103.2,-6,856
934,USA AZ Yuma Intl Arpt (TMY3).csv,TMY3,722800,Yuma Intl Arpt,AZ,USA,32.667,-114.6,-7,63
935,USA ND Grand Forks Af (TMY3).csv,TMY3,727575,Grand Forks Af,ND,USA,47.967,-97.4,-6,276
936,USA CA San Jose Intl Ap (TMY3).csv,TMY3,724945,San Jose Intl Ap,CA,USA,37.367,-121.933,-8,16
937,USA NY Fort Drum Wheeler-s (TMY3).csv,TMY3,743700,Fort Drum Wheeler-s,NY,USA,44.05,-75.717,-5,211
938,USA LA Fort Polk Aaf (TMY3).csv,TMY3,722390,Fort Polk Aaf,LA,USA,31.05,-93.183,-6,102
939,USA KS Topeka Municipal Ap (TMY3).csv,TMY3,724560,Topeka Municipal Ap,KS,USA,39.067,-95.633,-6,269
